MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2020-2021_Crystal Palace_Arsenal,2020-2021,37,2021-05-19,19:00,Crystal Palace,Arsenal,1,3,A,0.0,1.0,A,A Taylor,12.0,6.0,6.0,3.0,6.0,7.0,7.0,7.0,2.0,1.0,0.0,0.0,6.0,4.5,1.5,1.72,2.1,6.5,4.64,1.58,6.14,4.41,1.53,1.79,2.21,1.74,2.13,0,3
2020-2021_Arsenal_Brighton,2020-2021,38,2021-05-23,16:00,Arsenal,Brighton,2,0,H,0.0,0.0,D,J Moss,16.0,5.0,5.0,1.0,11.0,3.0,10.0,8.0,0.0,0.0,0.0,0.0,1.57,4.33,5.25,1.72,2.1,1.67,4.5,5.5,1.62,4.29,5.23,1.79,2.29,1.71,2.17,3,0
2021-2022_Brentford_Arsenal,2021-2022,1,2021-08-13,20:00,Brentford,Arsenal,2,0,H,1.0,0.0,H,M Oliver,8.0,22.0,3.0,4.0,2.0,5.0,12.0,8.0,0.0,0.0,0.0,0.0,4.0,3.4,1.95,2.1,1.72,4.62,3.72,2.1,4.02,3.43,2.02,2.26,1.83,2.16,1.73,3,0
2021-2022_Arsenal_Chelsea,2021-2022,2,2021-08-22,16:30,Arsenal,Chelsea,0,2,A,0.0,2.0,A,P Tierney,6.0,22.0,3.0,5.0,9.0,8.0,10.0,4.0,3.0,0.0,0.0,0.0,4.75,3.75,1.72,2.1,1.72,5.0,3.9,1.83,4.76,3.74,1.78,2.14,1.87,2.07,1.79,0,3
2021-2022_Man City_Arsenal,2021-2022,3,2021-08-28,12:30,Man City,Arsenal,5,0,H,3.0,0.0,H,M Atkinson,25.0,1.0,10.0,0.0,14.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,1.25,6.0,12.0,1.57,2.37,1.3,6.6,13.7,1.26,6.16,11.99,1.64,2.52,1.57,2.45,3,0
2021-2022_Arsenal_Norwich,2021-2022,4,2021-09-11,15:00,Arsenal,Norwich,1,0,H,0.0,0.0,D,M Oliver,30.0,10.0,7.0,1.0,8.0,4.0,9.0,11.0,1.0,2.0,0.0,0.0,1.5,4.6,6.0,1.72,2.1,1.55,4.6,6.95,1.52,4.48,6.4,1.75,2.26,1.71,2.17,3,0
2021-2022_Burnley_Arsenal,2021-2022,5,2021-09-18,15:00,Burnley,Arsenal,0,1,A,0.0,1.0,A,A Taylor,18.0,13.0,3.0,3.0,8.0,3.0,9.0,8.0,2.0,1.0,0.0,0.0,3.8,3.6,1.95,2.0,1.8,4.0,3.66,2.1,3.82,3.5,2.03,2.1,1.89,2.03,1.82,0,3
2021-2022_Arsenal_Tottenham,2021-2022,6,2021-09-26,16:30,Arsenal,Tottenham,3,1,H,3.0,0.0,H,C Pawson,12.0,10.0,7.0,4.0,4.0,4.0,12.0,13.0,2.0,1.0,0.0,0.0,2.15,3.3,3.5,2.0,1.8,2.38,3.5,3.55,2.28,3.31,3.35,2.15,1.87,2.07,1.79,3,0
2021-2022_Brighton_Arsenal,2021-2022,7,2021-10-02,17:30,Brighton,Arsenal,0,0,D,0.0,0.0,D,J Moss,21.0,8.0,2.0,2.0,8.0,5.0,8.0,5.0,2.0,1.0,0.0,0.0,3.0,3.25,2.4,2.0,1.8,3.2,3.34,2.6,3.05,3.22,2.5,2.12,1.86,2.06,1.8,1,1
2021-2022_Arsenal_Crystal Palace,2021-2022,8,2021-10-18,20:00,Arsenal,Crystal Palace,2,2,D,1.0,0.0,H,M Dean,17.0,9.0,6.0,6.0,6.0,4.0,7.0,4.0,1.0,1.0,0.0,0.0,1.6,3.8,6.0,1.97,1.93,1.7,4.1,6.13,1.65,3.87,5.65,1.99,1.95,1.93,1.91,1,1
